kind,series_name,series_imdb_id,rating,votes,runtime,is_comedy,is_drama,rating_miss
movie,An Easy Girl,9632590,5.5,1519,92,1,1,NA
movie,The Week Of,6821012,5.1,17594,116,1,0,5.1
movie,Murder Mystery,1618434,6,94014,97,1,0,6
movie,Sextuplets,8976710,4.4,6784,97,1,0,4.4
movie,The Kissing Booth,3799232,6,60140,105,1,0,6
movie,#REALITYHIGH,6119504,5.2,5332,99,1,1,5.2
tv movie,Dragons: Rescue Riders: Secrets of the Songwing,12599350,6.7,56,46,1,0,6.7
movie,Jeff Dunham: Relative Disaster,7364706,6.4,1082,70,1,0,6.4
movie,Jo Koy: Comin' in Hot,10377036,7.3,692,60,1,0,7.3
movie,Extraction,8936646,6.7,138881,116,0,0,6.7
movie,To All the Boys I've Loved Before,3846674,7.1,81270,99,1,1,NA
movie,The Ridiculous 6,2479478,4.8,42748,119,1,0,4.8
movie,Someone Great,8075260,6.2,16338,92,1,0,6.2
movie,The Irishman,1302006,7.9,302221,209,0,1,7.9
movie,George Lopez: We'll Do It for Half,12358794,5.4,304,51,1,0,5.4
movie,Bill Burr: Paper Tiger,10847306,8.2,7864,67,1,0,8.2
movie,Eurovision Song Contest: The Story of Fire Saga,8580274,6.5,58572,123,1,0,6.5
movie,Tom Segura: Ball Hog,11861072,7.3,1667,70,1,0,7.3
movie,Rich in Love,10329566,5.8,1588,104,1,0,5.8
movie,Always Be My Maybe,7374948,6.8,42888,101,1,0,6.8
movie,Kevin Hart: Irresponsible,10009796,6.5,3356,60,1,0,NA
tv movie,Black Mirror: Bandersnatch,9495224,7.2,109213,90,0,1,7.2
movie,MILF,7205316,4.7,3116,101,1,0,4.7
movie,"Rob Schneider: Asian Momma, Mexican Kids",12724632,5.3,275,44,1,0,5.3
movie,Coffee & Kareem,9898858,5.1,10462,88,1,0,NA
movie,DJ Cinderella,8716800,4.4,539,95,0,0,4.4
movie,Como Caído Del Cielo,10946934,6.3,1051,112,1,1,6.3
movie,Bert Kreischer: Secret Time,8786466,7.4,1783,57,1,0,7.4
movie,The Package,7525778,5.5,13263,94,1,0,NA
movie,Fatal Affair,11057594,4.4,3592,89,0,1,4.4
movie,Wine Country,8169446,5.4,17689,103,1,0,5.4
movie,Dumplin',4878482,6.6,26971,110,1,1,6.6
movie,Next Gen,7133686,6.6,13299,106,1,0,6.6
tv movie,Invader ZIM: Enter the Florpus,6739094,7.5,4509,71,1,0,7.5
movie,Klaus,4729430,8.2,73926,96,1,0,NA
movie,Set It Up,5304992,6.5,39872,105,1,0,6.5
movie,John Mulaney: Kid Gorgeous at Radio City,8271714,7.9,5576,65,1,0,7.9
movie,The Laundromat,5865326,6.3,40480,95,1,1,6.3
movie,Sierra Burgess Is a Loser,3120280,5.8,33268,105,1,1,5.8
movie,The Babysitter,4225622,6.3,59067,85,1,0,NA
movie,Octonauts and the Caves of Sac Actun,12759408,6.5,22,72,1,0,6.5
movie,Jeff Dunham: Beside Himself,10847194,6.8,799,58,1,0,6.8
movie,The Ballad of Buster Scruggs,6412452,7.3,114315,133,1,1,NA
movie,A Fall from Grace,11390036,5.8,9931,115,0,1,5.8
movie,The Main Event,10540242,4.7,1589,101,1,0,4.7
movie,Sam Jay: 3 in the Morning,12689876,6,185,64,1,0,NA
movie,Fearless,8675288,4.8,195,89,1,0,4.8
movie,The Last Summer,7957694,5.6,10277,109,1,0,5.6
movie,The Do-Over,4769836,5.7,38615,108,1,0,5.7
movie,The Old Guard,7556122,6.7,88515,125,0,0,NA
movie,Falling Inn Love,9860728,5.6,13971,98,1,0,5.6
movie,Little Evil,2937366,5.7,18112,94,1,0,NA
movie,"Game Over, Man!",3317234,5.4,25077,101,1,0,5.4
movie,I Lost My Body,9806192,7.6,23661,81,0,1,7.6
movie,Seriously Single,11010144,4.2,638,107,1,0,NA
movie,Katt Williams: Great America,7752054,6.1,817,60,1,0,6.1
movie,Desperados,1545304,5.2,6500,105,1,0,NA
movie,The Speed Cubers,12038300,7.5,1284,39,0,0,7.5
movie,Father of the Year,7256866,5.2,9475,94,1,0,5.2
movie,Nappily Ever After,365545,6.4,7463,98,1,1,NA
movie,The Kissing Booth 2,9784456,5.9,13271,134,1,0,5.9
movie,The Christmas Chronicles,2990140,7.1,42769,104,1,0,7.1
tv movie,Unbreakable Kimmy Schmidt: Kimmy vs the Reverend,10324166,7.3,2026,80,1,0,7.3
movie,Work It,10276470,6.2,4339,93,1,0,6.2
tv movie,"Yo, Potro",9154584,6.3,393,50,1,0,6.3
movie,Tall Girl,9252508,5.2,16020,101,1,1,5.2
movie,The Perfect Date,8201170,5.8,30149,89,1,0,5.8
movie,The Lovebirds,8851668,6,17550,86,1,0,NA
movie,The Willoughbys,5206260,6.4,10798,90,1,0,6.4
movie,Gunjan Saxena: The Kargil Girl,10350626,5.3,16501,112,0,1,5.3
movie,"Gabriel ""Fluffy"" Iglesias: One Show Fits All",9426212,7.3,1362,90,1,0,7.3
movie,Step Sisters,5267472,5.4,3871,108,1,0,5.4
movie,Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,6302122,7.4,2105,87,1,0,NA
movie,The Larva Island Movie,12588448,5,254,89,0,0,5
movie,Project Power,7550000,6.1,15299,113,0,0,6.1
movie,6 Underground,8106534,6.1,128249,128,0,0,6.1
movie,Spenser Confidential,8629748,6.2,60274,111,1,1,6.2
movie,The Wrong Missy,9619798,5.7,28008,90,1,0,5.7
movie,Sebastian Maniscalco: Stay Hungry,9482786,7.1,992,65,1,0,7.1
movie,Malibu Rescue: The Next Wave,11032990,4.7,295,68,1,0,4.7
movie,The Half of It,9683478,6.9,22848,104,1,1,6.9
movie,Feel the Beat,10714856,6.3,5795,109,1,1,6.3
movie,Dave Chappelle: Sticks & Stones,10810424,8.5,20514,65,1,0,NA
movie,To All the Boys: P.S. I Still Love You,9354842,6,20831,101,1,1,6
tv short,Marco Polo: One Hundred Eyes,5235348,7.8,8995,28,0,1,NA
tv movie,Money Heist: The Phenomenon,12078990,7.5,1824,57,0,0,7.5
movie,Dave Chappelle: Equanimity,7806998,8.2,9131,64,1,0,8.2
movie,Lady J,7530986,6.9,2169,109,0,1,6.9
movie,Gnome Alone,5851786,5.6,2559,85,1,0,5.6
movie,Ajin: Demi-Human,6215712,6.4,1323,109,0,0,6.4
movie,Errementari,5592878,6.4,8792,98,0,0,6.4
movie,Flavors of Youth,8176578,6.6,5095,74,0,1,NA
movie,Animal Crackers,4155534,5.8,1713,105,1,0,5.8
movie,Latte & the Magic Waterstone,9038290,5.7,343,81,1,0,5.7
movie,The Skin of the Wolf,6347150,5.7,2186,110,0,1,5.7
movie,Malibu Rescue,9228950,4.8,827,68,1,0,NA
movie,Steel Rain,6769508,7.1,3783,139,0,1,7.1
